sym,date,open,high,low,close,volume,adjclose,feat_0,feat_1,feat_2,close_shift,label1,label2,label3,label5,label6,label8,label10,label20,label30,label60
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-02,75.970001,77.970001,75.349998,77.059998,2086700.0,77.059998,23.7016676562,20.2251104014,29.3941718027,,0.988710147644,0.98559562641,0.977030923359,0.970282882696,0.983908668152,0.970672267601,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-03,76.300003,76.389999,75.720001,76.190002,1030100.0,76.190002,23.3286076215,19.0792566129,27.7288447686,,0.99684991477,0.988187413356,0.995799986985,0.995143693526,0.989368618208,0.954849692746,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-04,75.699997,77.129997,75.260002,75.949997,1109200.0,75.949997,23.3732005789,17.5822171581,28.6581240113,,0.991310124739,0.998946754402,0.984463462191,0.992495062245,0.984858537914,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-05,76.720001,76.940002,75.25,75.290001,793900.0,75.290001,23.4059629017,16.3767753838,26.6248738626,,1.00770357275,0.993093319258,1.00703943409,0.993491858235,0.966263767217,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-06,75.139999,76.18,75.139999,75.870003,660300.0,75.870003,23.3352591168,16.1163219006,25.4292151495,,0.985501437241,0.999340938473,0.993541505462,0.958876988577,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-09,75.379997,75.599998,74.510002,74.769997,782100.0,74.769997,22.6936324024,17.9130583189,23.916662819,,1.01404310609,1.00815835261,1.0004013107,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-10,74.989998,75.989998,74.68,75.82,1129000.0,75.82,22.3551864053,16.8720337561,24.2568921682,,0.994196742284,0.986547124769,0.959509364284,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-11,75.860001,76.120003,75.279999,75.379997,781700.0,75.379997,22.1280978724,16.2210565528,23.918124643,,0.992305730657,0.965110147192,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-12,76.129997,76.599998,74.610001,74.800003,1063600.0,74.800003,21.2679792141,17.7845855716,21.7747087334,,0.97259354388,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\EMN,2016-05-13,74.669998,75.050003,72.639999,72.75,1908100.0,72.75,20.5580078437,24.4775655808,19.4960655357,,,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-02,5.57,5.58,5.38,5.44,41088600.0,5.44,12.5296840689,20.2444618993,20.977629005,,0.959558823529,0.983455882353,0.952205882353,0.965073529412,0.998161764706,0.979779411765,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-03,5.46,5.47,5.07,5.22,49233600.0,5.22,13.4294447743,29.4317814249,17.611523525,,1.02490421456,0.992337164751,1.00957854406,1.04022988506,1.03448275862,1.00766283525,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-04,5.19,5.38,5.15,5.35,31808700.0,5.35,14.2649368578,26.7716728805,16.0197556489,,0.968224299065,0.985046728972,0.981308411215,1.00934579439,0.996261682243,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-05,5.31,5.32,5.17,5.18,18055200.0,5.18,15.0407509354,24.8766921713,14.8858284544,,1.01737451737,1.01351351351,1.04826254826,1.02895752896,1.01544401544,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-06,5.2,5.28,5.1,5.27,11185100.0,5.27,16.1322051446,25.8691588746,13.831483487,,0.996204933586,1.03036053131,1.02466793169,0.998102466793,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-09,5.3,5.31,5.2,5.25,11305100.0,5.25,16.8568675506,24.7170051425,14.4301260353,,1.03428571429,1.02857142857,1.01523809524,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-10,5.27,5.44,5.25,5.43,10986600.0,5.43,16.3889081959,22.8259564709,18.5608639393,,0.994475138122,0.981583793738,0.968692449355,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-11,5.43,5.53,5.36,5.4,15068300.0,5.4,15.2754049648,21.2587554741,20.9213722553,,0.987037037037,0.974074074074,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-12,5.39,5.42,5.3,5.33,7834600.0,5.33,14.6542836294,22.6844381128,19.88358709,,0.986866791745,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\FTR,2016-05-13,5.34,5.36,5.26,5.26,6609900.0,5.26,14.3454530641,23.4224137503,19.0361642368,,,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-02,82.059998,82.769997,81.790001,82.5,2319200.0,82.5,18.6965259094,27.9590631814,18.8312105441,,1.00521212121,1.01818181818,1.00145458182,1.03127275152,1.02206060606,1.01442426667,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-03,82.120003,83.730003,81.839996,82.93,1724600.0,82.93,17.9519431469,25.5195741142,21.6200142517,,1.01290244785,0.996261943808,1.00409980707,1.01676112384,1.0020498975,0.983238888219,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-04,83.239998,84.139999,81.050003,84.0,2347000.0,84.0,17.7644531251,25.525776361,18.7409747474,,0.983571464286,0.991309488095,1.01285716667,0.989285690476,0.996309547619,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-05,83.940002,84.0,82.459999,82.620003,2405400.0,82.620003,17.5903552477,23.8230795668,17.4908581134,,1.00786727156,1.02977485973,1.02057609463,1.01295084678,0.986928080843,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-06,82.620003,83.459999,81.699997,83.269997,2291400.0,83.269997,17.9066651501,25.2918262922,16.163831833,,1.02173658058,1.01260961976,0.997958460356,0.979224257688,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-09,83.550003,85.269997,83.459999,85.080002,2885000.0,85.080002,16.7315278339,23.1430531032,22.479364306,,0.991067207544,0.976727739146,0.983662435739,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-10,84.93,85.07,83.889999,84.32,2393300.0,84.32,15.6403288974,21.9482064623,21.3187830806,,0.985531285579,0.992528486717,0.967030372391,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-11,82.940002,83.400002,81.860001,83.099998,2564400.0,83.099998,15.8926685941,28.1925219303,19.1210506144,,1.00709992797,0.981227472472,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-12,83.050003,84.199997,82.690002,83.690002,1491000.0,83.690002,15.5234834002,26.3938947354,21.2811832019,,0.974309942065,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DG,2016-05-13,83.330002,83.589996,81.419998,81.540001,2521000.0,81.540001,15.870035341,29.1605881705,19.2889024381,,,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-02,84.169998,84.93,83.480003,84.290001,1826700.0,84.290001,25.6313267704,15.1794587983,31.9472315711,,0.989441226843,0.974967362973,0.963340800055,0.95598530127,0.994305338779,0.998339079389,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-03,83.550003,83.849998,82.529999,83.400002,1935200.0,83.400002,25.5428059165,18.0043327516,29.6211593719,,0.985371679008,0.973621043798,0.976618645645,1.00491601907,1.00599520369,0.98884890914,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-04,83.220001,83.489998,81.760002,82.18,1646300.0,82.18,24.8636155885,19.900937948,27.5015141005,,0.988074920905,0.991117023607,0.980530567048,1.02092969092,1.02397179362,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-05,82.230003,82.300003,80.769997,81.199997,2827000.0,81.199997,23.5274961314,22.7597557127,25.7467593534,,1.00307881785,0.992364593314,1.03214287065,1.03633011218,1.01564044393,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-06,80.739998,81.699997,80.589996,81.449997,1257600.0,81.449997,22.1625133975,22.4490460555,24.5242009723,,0.989318661362,1.02897484453,1.03007986606,1.01252306983,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-09,81.040001,81.120003,80.019997,80.580002,1638100.0,80.580002,20.6587941241,23.5251666701,23.0084372577,,1.04008433755,1.04120128962,1.04430379637,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-10,80.910004,84.379997,80.610001,83.809998,5942200.0,83.809998,20.8797992094,19.9895074178,32.4439577907,,1.00107390529,1.00405684296,0.984011489894,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-11,83.650002,84.949997,83.019997,83.900002,3217600.0,83.900002,21.3260330792,18.4710964319,32.2228918302,,1.00297973771,0.982955888368,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-12,84.260002,84.93,82.57,84.150002,3936300.0,84.150002,21.4111340813,18.525344723,29.2927615003,,0.980035639215,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DE,2016-05-13,83.800003,84.290001,82.279999,82.470001,2420100.0,82.470001,21.2753347001,18.2099065023,27.0376858668,,,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-02,66.339996,66.360001,65.57,66.07,1580200.0,65.683686,17.0775363548,20.792270177,25.1702151785,,0.981232056909,0.972604843348,0.963674859997,0.970031723929,0.98365367035,0.972907507189,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-03,65.120003,65.220001,64.559998,64.830002,2726600.0,64.450938,16.1238924277,24.7754101297,22.9952271214,,0.99120777445,0.982106988058,0.99120777445,1.00246793144,0.991978960605,0.970384051508,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-04,63.889999,64.599998,63.73,64.260002,1721000.0,63.884272,15.9034770582,27.9928532877,21.5353304319,,0.990818487681,1.0,0.997354404066,1.00077802674,1.00031118891,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-05,64.620003,65.099998,63.549999,63.669998,2331500.0,63.297717,15.2220892862,25.5330016183,22.4775847373,,1.00926659366,1.00659648207,1.0207318995,1.00958066623,0.988063483212,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-06,63.580002,64.279999,63.5,64.260002,1830600.0,63.884272,14.6316293258,24.6637262946,21.4558126572,,0.997354404066,1.01136003699,1.00077802674,0.978991566169,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-09,64.029999,64.349998,63.669998,64.089996,3221300.0,63.71526,14.0112575423,23.6542121115,20.9989458503,,1.01404278446,1.00343270422,1.00296462805,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-10,64.449997,65.040001,64.190002,64.989998,2097800.0,64.609999,13.2747221701,22.2820347748,23.9941433828,,0.989536851501,0.989075257396,0.967995105955,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-11,64.849998,65.029999,64.25,64.309998,1792800.0,64.309998,12.5907964674,21.1948938631,22.8234686587,,0.999533525098,0.978230476698,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-12,65.199997,65.550003,64.110001,64.279999,2337100.0,64.279999,12.462759568,19.3207272605,23.9984536563,,0.978687009625,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\DD,2016-05-13,64.339996,64.519997,62.810001,62.91,2156000.0,62.91,12.1117807191,25.0813745561,21.5603637592,,,,,,,,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\AMGN,2016-05-02,158.619995,159.419998,157.210007,158.990005,2433700.0,157.950173,30.5548030851,18.0489303879,17.9357423001,,0.983395188899,0.969746450414,0.970186773691,0.977482854976,0.988993018775,0.96169563615,,,,
C:\pythonwp\pytrade\strategy_mining\..\data\yeod\AMGN,2016-05-03,158.369995,158.460007,156.0,156.350006,2862900.0,155.32744,28.9597011622,19.6445955027,16.6591980007,,0.986120800021,0.986568558238,0.979788910274,1.00569235028,0.986120800021,0.974416374503,,,,
