Symbol
AA
AAPL
ABBV
ABT
ACN
AEP
AGN
AIG
ALL
AMGN
AMZN
APA
APC
AVP
AXP
BA
BAC
BAX
BHI
BIIB
BK
BLK
BMY
C
CAT
CELG
CL
CMCSA
COF
COP
COST
CPB
CSCO
CVS
CVX
DD
DELL
DIS
DOW
DVN
EBAY
EMC
EMR
ETR
EXC
F
FB
FCX
FDX
FOX
FOXA
GD
GE
GILD
GM
GOOG
GOOGL
GS
HAL
HD
HNZ
HON
HPQ
IBM
INTC
JNJ
JPM
KMI
KO
LLY
LMT
LOW
MA
MCD
MDLZ
MDT
MER
MET
MMM
MO
MON
MRK
MS
MSFT
NKE
NOV
NSC
NYX
ORCL
OXY
PCLN
PEP
PFE
PG
PM
PYPL
QCOM
RF
RTN
S
SBUX
SGP
SLB
HSH
SO
SPG
T
TGT
TWX
TXN
TYC
UNH
UNP
UPS
USB
UTX
V
WB
WBA
WFC
WMB
WMT
WY
VZ
XOM
XRX
