DO  
HOT
EMC
JCI
CPGX
GAS
TE
CVC
BXLT
CCE
ARG
TWC
SNDK
ADT
MHFI
GME
THC
CAM
POM
ESV
GMCR
CNX
PCL
PCP
BRCM
CB
ACE
FOSL
ALTR
CMCSK
CSC
SIAL
GNW
HCBK
JOY
HSP
PLL
DTV
NE
FDO
ATI
TEG
QEP
LO
WIN
AGN
DNR
NBR
AVP
CFN
PETM
SWY
COV
BMS
JBL
BTU
GHC
RDC
X
FRX
IGT
LSI
BEAM
SLM
CLF
WPX
LIFE
ANF
JDSU
TER
MOLX
JCP
NYX
DELL
AMD
SAIC
BMC
S
APOL
FHN
HNZ
DF
CVH
PCS
BIG
FII
TIE
RRD
CBE
SUN
ANR
LXK
DV
SHLD
GR
PGN
SLE
NVLS
MMI
EP
SVU
MHS
CEG
CPWR
TLAB
AKS
MWW
WFR
GAS
JNS
ITT
CEPH
NSM
MI
RSH
MEE
NOVL
GENZ
Q
MFE
AYE
KG
EK
ODP
NYT
SII
MIL
STR
XTO
BJS
SGP
CBE
ABK
TRB
AV
SBL
BS
OI
GRA
CCK
