Symbol
AA
AAPL
ABT
AEP
ALL
AMGN
AVP
AXP
BA
BAC
BAX
BHI
BK
BMY
C
CAT
CL
CMCSA
COF
COP
CPB
CSCO
CVS
CVX
DD
DIS
DOW
DVN
EMC
ETR
EXC
F
FDX
GD
GE
GILD
GOOGL
GS
HAL
HD
HNZ
HON
HPQ
IBM
INTC
JNJ
JPM
KO
LMT
LOW
MA
MCD
MDLZ
MDT
MER
MMM
MO
MRK
MS
MSFT
NOV
NSC
NYX
ORCL
OXY
PEP
PFE
PG
PM
RF
RTN
S
SGP
SLB
HSH
SO
T
TGT
TWX
TXN
TYC
UNH
UPS
USB
UTX
WB
WBA
WFC
WMB
WMT
WY
VZ
XOM
XRX
