EQR, 2014-10-28, 0.510582
SNA, 2014-10-28, 0.576337
MOS, 2014-10-28, 0.485516
MSFT, 2014-10-28, 0.578986
AIV, 2014-10-28, 0.524624
PBI, 2014-10-28, 0.601771
ADP, 2014-10-28, 0.533453
AVGO, 2014-10-28, 0.637725
EXPD, 2014-10-28, 0.541791
FLR, 2014-10-28, 0.571092
JNJ, 2014-10-28, 0.602262
TEL, 2014-10-28, 0.567122
AA, 2014-10-28, 0.618964
STX, 2014-10-28, 0.590398
FITB, 2014-10-28, 0.538674
OXY, 2014-10-28, 0.590289
BAX, 2014-10-28, 0.525492
MAS, 2014-10-28, 0.565911
STZ, 2014-10-28, 0.555686
UTX, 2014-10-28, 0.499723
DG, 2014-10-28, 0.579566
NE, 2014-10-28, 0.598897
MUR, 2014-10-28, 0.565659
XLNX, 2014-10-28, 0.545260
STT, 2014-10-28, 0.575200
EFX, 2014-10-28, 0.582033
DFS, 2014-10-28, 0.604806
MO, 2014-10-28, 0.547991
PCAR, 2014-10-28, 0.539741
KLAC, 2014-10-28, 0.619660
HP, 2014-10-28, 0.556048
MRO, 2014-10-28, 0.641444
NBR, 2014-10-28, 0.620402
PCG, 2014-10-28, 0.581099
SIAL, 2014-10-28, 0.510217
PH, 2014-10-28, 0.581873
TMO, 2014-10-28, 0.613131
RIG, 2014-10-28, 0.554046
LMT, 2014-10-28, 0.507048
MMC, 2014-10-28, 0.529016
CAG, 2014-10-28, 0.590913
PLD, 2014-10-28, 0.540703
ALTR, 2014-10-28, 0.569204
AET, 2014-10-28, 0.567956
AKAM, 2014-10-28, 0.558358
PNR, 2014-10-28, 0.553591
WLP, 2014-10-28, 0.607571
SNI, 2014-10-28, 0.533507
APD, 2014-10-28, 0.600459
PFG, 2014-10-28, 0.561134
CRM, 2014-10-28, 0.583791
DAL, 2014-10-28, 0.623361
DOV, 2014-10-28, 0.550485
KR, 2014-10-28, 0.548629
NBL, 2014-10-28, 0.575386
GPS, 2014-10-28, 0.539633
ACT, 2014-10-28, 0.628414
HCP, 2014-10-28, 0.532697
KEY, 2014-10-28, 0.539442
T, 2014-10-28, 0.600180
WFM, 2014-10-28, 0.480223
GD, 2014-10-28, 0.538957
R, 2014-10-28, 0.603706
OKE, 2014-10-28, 0.678557
NOV, 2014-10-28, 0.606877
PSA, 2014-10-28, 0.504912
WY, 2014-10-28, 0.601410
LEN, 2014-10-28, 0.595933
HST, 2014-10-28, 0.554143
SYK, 2014-10-28, 0.534931
YHOO, 2014-10-28, 0.481512
ADT, 2014-10-28, 0.541018
CPB, 2014-10-28, 0.539799
